Vendor,Component,Unit,Low GB/day,Medium GB/day,High GB/day,Avg bytes/event low,Avg bytes/event medium,Avg bytes/event high
Salesforce,Admin / configuration audit events,tenant / org / instance,5.668845027685165e-05,0.0005677040666341781,0.0056675300002098075,608.6876,609.5676,608.5464
Salesforce,Authentication / access security events,active user,1.036534458398819e-06,4.152485728263855e-06,1.5546754002571107e-05,556.4852,557.3372,556.44
Salesforce,User activity / object/content events,active user,2.389997243881226e-06,2.1840736269950865e-05,0.0001258234679698944,513.248,586.2828,675.5096
Salesforce,API / integration events,integration / API client,0.00014041019603610038,0.0028126053512096405,0.028204005211591717,603.0572,604.0024,605.6764
ServiceNow,Admin / configuration audit events,tenant / org / instance,5.496099591255188e-05,0.0005503706634044647,0.0054962560534477225,590.1392,590.956,590.156
ServiceNow,Authentication / access security events,active user,1.0772116482257844e-06,4.316228628158569e-06,1.6158275306224822e-05,578.3236,579.3144,578.3272
ServiceNow,User activity / object/content events,active user,2.2641494870185853e-06,2.08100825548172e-05,0.0001205848902463913,486.2224,558.6164,647.3852
ServiceNow,API / integration events,integration / API client,0.0001384400762617588,0.00277370773255825,0.027745682746171948,594.5956,595.6492,595.834
Workday,Admin / configuration audit events,tenant / org / instance,5.489338189363479e-05,0.0005498241633176803,0.0054918453097343445,589.4132,590.3692,589.6824
Workday,Authentication / access security events,active user,1.035403460264206e-06,4.1490495204925535e-06,1.5528716146945952e-05,555.878,556.876,555.7944
Workday,User activity / object/content events,active user,2.3160167038440705e-06,2.1215826272964477e-05,0.00012248992919921875,497.3608,569.508,657.6128
Workday,API / integration events,integration / API client,0.00014147507026791574,0.0028343573212623596,0.02835208550095558,607.6308,608.6736,608.8564
Box,Admin / configuration audit events,tenant / org / instance,4.912640899419785e-05,0.0004923101514577866,0.00491274893283844,527.4908,528.614,527.5024
Box,Authentication / access security events,active user,1.0477930307388305e-06,4.19955849647522e-06,1.5718046575784683e-05,562.5296,563.6552,562.5708
Box,User activity / object/content events,active user,2.3452099412679673e-06,2.1434500813484194e-05,0.0001238102465867996,503.63,575.378,664.7012
Box,API / integration events,integration / API client,0.00013235248625278472,0.002651723101735115,0.02653617411851883,568.4496,569.4532,569.86
Atlassian Cloud,Admin / configuration audit events,tenant / org / instance,5.1892213523387906e-05,0.0005198478698730469,0.0051895491778850555,557.1884,558.1824,557.2236
Atlassian Cloud,Authentication / access security events,active user,1.081271469593048e-06,4.3331295251846315e-06,1.622173190116882e-05,580.5032,581.5828,580.5984
Atlassian Cloud,User activity / object/content events,active user,2.4157576262950894e-06,2.2017404437065126e-05,0.00012652553617954255,518.78,591.0252,679.2788
Atlassian Cloud,API / integration events,integration / API client,0.00013797702267766,0.002763977274298668,0.027655474841594696,592.6068,593.5596,593.8968
Average / Blended,Admin / configuration audit events,tenant / org / instance,5.351229012012482e-05,0.0005360113829374313,0.005351585894823074,574.58384,575.5378400000001,574.6221599999999
Average / Blended,Authentication / access security events,active user,1.0556428134441376e-06,4.230090379714966e-06,1.5834704786539078e-05,566.74392,567.7531200000001,566.7461599999999
Average / Blended,User activity / object/content events,active user,2.3462262004613876e-06,2.146371006965637e-05,0.00012384681403636934,503.8482400000001,576.16208,664.89752
Average / Blended,API / integration events,integration / API client,0.00013813097029924393,0.0027672741562128067,0.027698684483766556,593.2679999999999,594.2675999999999,594.82472
