Vendor,Scenario,Profile,Low GB/day,Medium GB/day,High GB/day
Salesforce,Small SaaS,Audit only,0.0001085151731967926,0.0007753283530473709,0.006444867700338363
Salesforce,Small SaaS,Standard activity,0.0002280150353908539,0.001867365166544914,0.012736041098833082
Salesforce,Small SaaS,Full activity,0.0003684252314269543,0.004679970517754555,0.0409400463104248
Salesforce,Medium SaaS,Audit only,0.0005749556794762611,0.002643946930766106,0.013440907001495361
Salesforce,Medium SaaS,Standard activity,0.0017699543014168741,0.013564315065741538,0.07635264098644255
Salesforce,Medium SaaS,Full activity,0.002472005281597376,0.02762734182178974,0.2173726670444011
Salesforce,Large SaaS,Audit only,0.005296049192547798,0.021897836774587634,0.08906883001327515
Salesforce,Large SaaS,Standard activity,0.01724603541195393,0.13110151812434195,0.7181861698627471
Salesforce,Large SaaS,Full activity,0.020054239332675937,0.18735362514853476,1.2822662740945814
ServiceNow,Small SaaS,Audit only,0.0001088215783238411,0.0007661820948123932,0.0063041698187589635
ServiceNow,Small SaaS,Standard activity,0.00022202905267477036,0.0018066862225532532,0.012333414331078528
ServiceNow,Small SaaS,Full activity,0.0003604691289365292,0.004580393955111503,0.04007909707725048
ServiceNow,Medium SaaS,Audit only,0.0005935668200254442,0.0027084849774837495,0.013575393706560135
ServiceNow,Medium SaaS,Standard activity,0.0017256415635347367,0.013113526254892349,0.07386783882975578
ServiceNow,Medium SaaS,Full activity,0.0024178419448435307,0.0269820649176836,0.2125962525606155
ServiceNow,Large SaaS,Audit only,0.005495980232954026,0.022681884467601776,0.09178388863801956
ServiceNow,Large SaaS,Standard activity,0.01681672766804695,0.12673229724168777,0.694708339869976
ServiceNow,Large SaaS,Full activity,0.019585529193282127,0.18220645189285278,1.249621994793415
Workday,Small SaaS,Audit only,0.00010666355490684509,0.000757276639342308,0.006268281117081642
Workday,Small SaaS,Standard activity,0.00022246439009904862,0.001818067952990532,0.01239277757704258
Workday,Small SaaS,Full activity,0.00036393946036696436,0.004652425274252891,0.04074486307799816
Workday,Medium SaaS,Audit only,0.0005725951120257377,0.0026243489235639574,0.013256203383207321
Workday,Medium SaaS,Standard activity,0.0017306034639477728,0.013232262060046195,0.0745011679828167
Workday,Medium SaaS,Full activity,0.0024379788152873515,0.027404048666357993,0.2162615954875946
Workday,Large SaaS,Audit only,0.005286804065108299,0.021844895929098128,0.08862727135419846
Workday,Large SaaS,Standard activity,0.016866887584328652,0.12792402729392052,0.7010769173502922
Workday,Large SaaS,Full activity,0.019696388989686966,0.18461117371916771,1.2681186273694038
Box,Small SaaS,Audit only,0.00010151606053113938,0.0007022880762815476,0.005698651261627674
Box,Small SaaS,Standard activity,0.00021877655759453774,0.0017740131169557574,0.011889163590967654
Box,Small SaaS,Full activity,0.00035112904384732247,0.004425736218690872,0.03842533770948649
Box,Medium SaaS,Audit only,0.0005730229243636131,0.0025920893996953967,0.012771772220730782
Box,Medium SaaS,Standard activity,0.0017456278949975967,0.013309339806437495,0.07467689551413059
Box,Medium SaaS,Full activity,0.00240739032626152,0.026567955315113072,0.20735776610672474
Box,Large SaaS,Audit only,0.005337217971682549,0.021982412785291672,0.0884157307446003
Box,Large SaaS,Standard activity,0.017063267678022385,0.12915491685271263,0.7074669636785984
Box,Large SaaS,Full activity,0.01971031740307808,0.18218937888741493,1.238190446048975
Atlassian Cloud,Small SaaS,Audit only,0.00010595578700304032,0.0007365043461322785,0.006000635772943496
Atlassian Cloud,Small SaaS,Standard activity,0.00022674366831779478,0.0018373745679855348,0.012326912581920623
Atlassian Cloud,Small SaaS,Full activity,0.0003647206909954548,0.0046013518422842025,0.03998238742351532
Atlassian Cloud,Medium SaaS,Audit only,0.0005925279483199119,0.0026864126324653626,0.013300415128469465
Atlassian Cloud,Medium SaaS,Standard activity,0.0018004067614674564,0.013695114850997924,0.07656318321824074
Atlassian Cloud,Medium SaaS,Full activity,0.0024902918748557564,0.027515001222491266,0.21484055742621422
Atlassian Cloud,Large SaaS,Audit only,0.005510141775012016,0.02270534336566925,0.09148775786161421
Atlassian Cloud,Large SaaS,Standard activity,0.017588929906487465,0.13279236555099488,0.7241154387593269
Atlassian Cloud,Large SaaS,Full activity,0.020348470360040664,0.18807191103696824,1.2772249355912209
Average / Blended,Small SaaS,Audit only,0.00010629443079233171,0.0007475159019231796,0.006143321134150028
Average / Blended,Small SaaS,Standard activity,0.0002236057408154011,0.0018207014054059981,0.012335661835968495
Average / Blended,Small SaaS,Full activity,0.000361736711114645,0.004587975561618805,0.04003434631973505
Average / Blended,Medium SaaS,Audit only,0.0005813336968421936,0.0026510565727949145,0.013268938288092613
Average / Blended,Medium SaaS,Standard activity,0.0017544467970728873,0.0133829116076231,0.07519234530627728
Average / Blended,Medium SaaS,Full activity,0.002445101648569107,0.027219282388687135,0.21368576772511005
Average / Blended,Large SaaS,Audit only,0.005385238647460938,0.022222474664449696,0.08987669572234154
Average / Blended,Large SaaS,Standard activity,0.017116369649767878,0.12954102501273157,0.7091107659041883
Average / Blended,Large SaaS,Full activity,0.019878989055752756,0.1848865081369877,1.2630844555795195
